Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
AERO 1A-1 - Department of the Air Force (DAF) Professionalism	Aerospace Studies	1A	1	Open	2/5		1.5				Combination	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AERO 2A-1 - Team and Leadership Fundamentals	Aerospace Studies	2A	1	Open	2/5		1.5				Combination	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AERO 131A-1 - Leading People and Effective Communication	Aerospace Studies	131A	1	Open	2/5		4.5				Combination	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AERO 141A-1 - National Security and Preparation for Active-Duty	Aerospace Studies	141A	1	Open	0/5		4.5				Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 106-1 - Differential Equations	Applied Mathematics	106	1	Open	27/32	Magda Metwally	4	M W F | 8:00 AM - 9:05 AM	Rm 212 Kenna Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 106-2 - Differential Equations	Applied Mathematics	106	2	Open	33/34	Magda Metwally	4	M W F | 11:45 AM - 12:50 PM	Rm 214 Kenna Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 106-3 - Differential Equations	Applied Mathematics	106	3	Open	15/34	Robert Kleinhenz	4	M W F | 8:00 AM - 9:05 AM	Rm 122 Heafey Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 108-1 - Probability and Statistics (-)	Applied Mathematics	108	1	Open	30/34	Robert Kleinhenz	4	M W F | 10:30 AM - 11:35 AM	Rm 212 Kenna Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 108-2 - Probability and Statistics (-)	Applied Mathematics	108	2	Open	30/34	Robert Kleinhenz	4	M W F | 1:00 PM - 2:05 PM	Rm 212 Kenna Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 118-1 - Numerical Methods (-)	Applied Mathematics	118	1	Open	23/25	Francisco Villarroya Alvarez	4	M W F | 11:45 AM - 12:50 PM	Rm 212 Kenna Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 118-2 - Numerical Methods (-)	Applied Mathematics	118	2	Open	24/25	Francisco Villarroya Alvarez	4	M W F | 9:15 AM - 10:20 AM	Rm 212 Kenna Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 200-1 - Advanced Engineering Mathematics I	Applied Mathematics	200	1	Open	19/25	Jun Wang	2	T | 7:10 AM - 9:00 AM	Rm 105 O'Connor Hall	EMGT Tech Stem	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	AMTH 200-/MECH 200-1
AMTH 210-1 - Probability I	Applied Mathematics	210	1	Open	27/30	Ralph Morganstern	2	W | 7:10 AM - 9:00 AM	RM 3302 SCDI	EMGT Tech Stem	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 220-1 - Numerical Analysis I	Applied Mathematics	220	1	Open	8/30	Ralph Morganstern	2	M | 7:10 AM - 9:00 AM	RM 3302 SCDI	EMGT Tech Stem	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 240-1 - Discrete Mathematics for Computer Science	Applied Mathematics	240	1	Open	29/40	Nirdosh Bhatnagar	2	T | 7:10 AM - 9:00 AM	RM 1308 SCDI	EMGT Tech Stem	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 245-1 - Linear Algebra I	Applied Mathematics	245	1	Open	21/30	Aaron Melman	2	W | 5:10 PM - 7:00 PM	RM 2301 SCDI	EMGT Tech Stem	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
AMTH 377-1 - Design and Analysis of Algorithms	Applied Mathematics	377	1	Open	26/30	Siddhartha Nath | Sid Nath	4	M W | 7:10 PM - 9:00 PM	Rm 214 Kenna Hall	EMGT Tech Stem	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	AMTH 377-/CSEN 279-1
AMTH 377-2 - Design and Analysis of Algorithms	Applied Mathematics	377	2	Closed	30/30	Amr Zaky	4	T Th | 7:10 PM - 9:00 PM	Rm 129 Heafey Hall	EMGT Tech Stem	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	AMTH 377-/CSEN 279-2
AMTH 377-3 - Design and Analysis of Algorithms	Applied Mathematics	377	3	Open	6/27	Hien Vu	4	T Th | 7:10 AM - 9:00 AM	Rm 225 Heafey Hall	EMGT Tech Stem	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	AMTH 377-/CSEN 279-3
AMTH 387-1 - Cryptology	Applied Mathematics	387	1	Open	33/50	Nirdosh Bhatnagar	4	T Th | 7:10 PM - 9:00 PM	RM 1308 SCDI	EMGT Tech Stem	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ANTH 1-1 - Introduction to Biological Anthropology	Anthropology	1	1	Open	17/28	Isaura Cruz	4	M W F | 8:00 AM - 9:05 AM	Commons Mclaughlin-Walsh Residence Hall	Core Explorations :: Natural Science  Pathways :: Values in Science and Technology	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
